review,sentiment,aspect
Sample customer review 1 about product experience.,Neutral,Service
Sample customer review 2 about product experience.,Neutral,Service
Sample customer review 3 about product experience.,Neutral,Delivery
Sample customer review 4 about product experience.,Negative,Quality
Sample customer review 5 about product experience.,Negative,Quality
Sample customer review 6 about product experience.,Neutral,Quality
Sample customer review 7 about product experience.,Neutral,Delivery
Sample customer review 8 about product experience.,Positive,Quality
Sample customer review 9 about product experience.,Neutral,Pricing
Sample customer review 10 about product experience.,Neutral,Quality
Sample customer review 11 about product experience.,Positive,Delivery
Sample customer review 12 about product experience.,Neutral,Service
Sample customer review 13 about product experience.,Neutral,Service
Sample customer review 14 about product experience.,Positive,Delivery
Sample customer review 15 about product experience.,Neutral,Pricing
Sample customer review 16 about product experience.,Negative,Delivery
Sample customer review 17 about product experience.,Positive,Service
Sample customer review 18 about product experience.,Negative,Service
Sample customer review 19 about product experience.,Neutral,Pricing
Sample customer review 20 about product experience.,Positive,Delivery
Sample customer review 21 about product experience.,Negative,Quality
Sample customer review 22 about product experience.,Neutral,Delivery
Sample customer review 23 about product experience.,Neutral,Service
Sample customer review 24 about product experience.,Neutral,Quality
Sample customer review 25 about product experience.,Negative,Quality
Sample customer review 26 about product experience.,Neutral,Service
Sample customer review 27 about product experience.,Positive,Delivery
Sample customer review 28 about product experience.,Neutral,Quality
Sample customer review 29 about product experience.,Neutral,Delivery
Sample customer review 30 about product experience.,Positive,Delivery
Sample customer review 31 about product experience.,Negative,Pricing
Sample customer review 32 about product experience.,Neutral,Delivery
Sample customer review 33 about product experience.,Negative,Quality
Sample customer review 34 about product experience.,Positive,Service
Sample customer review 35 about product experience.,Neutral,Pricing
Sample customer review 36 about product experience.,Negative,Service
Sample customer review 37 about product experience.,Negative,Pricing
Sample customer review 38 about product experience.,Negative,Service
Sample customer review 39 about product experience.,Negative,Pricing
Sample customer review 40 about product experience.,Positive,Quality
Sample customer review 41 about product experience.,Neutral,Pricing
Sample customer review 42 about product experience.,Neutral,Service
Sample customer review 43 about product experience.,Negative,Quality
Sample customer review 44 about product experience.,Negative,Delivery
Sample customer review 45 about product experience.,Positive,Service
Sample customer review 46 about product experience.,Negative,Quality
Sample customer review 47 about product experience.,Positive,Delivery
Sample customer review 48 about product experience.,Neutral,Pricing
Sample customer review 49 about product experience.,Neutral,Service
Sample customer review 50 about product experience.,Negative,Service
Sample customer review 51 about product experience.,Positive,Quality
Sample customer review 52 about product experience.,Positive,Pricing
Sample customer review 53 about product experience.,Negative,Service
Sample customer review 54 about product experience.,Negative,Delivery
Sample customer review 55 about product experience.,Neutral,Quality
Sample customer review 56 about product experience.,Positive,Pricing
Sample customer review 57 about product experience.,Neutral,Delivery
Sample customer review 58 about product experience.,Neutral,Quality
Sample customer review 59 about product experience.,Neutral,Service
Sample customer review 60 about product experience.,Positive,Service
Sample customer review 61 about product experience.,Neutral,Quality
Sample customer review 62 about product experience.,Negative,Delivery
Sample customer review 63 about product experience.,Negative,Quality
Sample customer review 64 about product experience.,Negative,Quality
Sample customer review 65 about product experience.,Positive,Delivery
Sample customer review 66 about product experience.,Neutral,Pricing
Sample customer review 67 about product experience.,Negative,Pricing
Sample customer review 68 about product experience.,Positive,Quality
Sample customer review 69 about product experience.,Neutral,Pricing
Sample customer review 70 about product experience.,Negative,Pricing
Sample customer review 71 about product experience.,Positive,Quality
Sample customer review 72 about product experience.,Neutral,Service
Sample customer review 73 about product experience.,Positive,Delivery
Sample customer review 74 about product experience.,Negative,Service
Sample customer review 75 about product experience.,Positive,Service
Sample customer review 76 about product experience.,Positive,Service
Sample customer review 77 about product experience.,Positive,Delivery
Sample customer review 78 about product experience.,Neutral,Service
Sample customer review 79 about product experience.,Negative,Delivery
Sample customer review 80 about product experience.,Neutral,Delivery
